theme,start,end,days,peak_return,avg_return
ai_apps,2020-10-19,2020-10-28,8,0.18626885847022256,0.03728247625937584
digital_ads_media,2020-10-19,2020-10-19,1,0.00427558349365519,0.00427558349365519
electronics_components,2020-10-19,2020-10-19,1,0.0005634536787716757,0.0005634536787716757
datacenter_infra,2020-10-20,2020-10-20,1,0.009427869605491664,0.009427869605491664
regional_banks,2020-10-20,2020-10-22,3,0.04392896450259883,0.013585842259917604
copper,2020-10-21,2020-10-21,1,0.014195704258963234,0.014195704258963234
networking_optical,2020-10-21,2020-10-21,1,0.008074514513747641,0.008074514513747641
airlines_travel,2020-10-22,2020-10-23,2,0.05319502833471008,0.033132610760850306
transport_logistics,2020-10-23,2020-10-23,1,0.008439601096114432,0.008439601096114432
consumer_internet,2020-10-26,2020-10-29,4,0.0457634211935444,0.0002083044509620484
consumer_internet_marketplaces,2020-10-26,2020-10-26,1,-0.00305437474623819,-0.00305437474623819
real_estate_reits,2020-10-26,2020-10-26,1,-0.016750965928339783,-0.016750965928339783
digital_ads_media,2020-10-27,2020-10-27,1,0.0005997543022986107,0.0005997543022986107
agriculture_food_inputs,2020-10-28,2020-11-02,4,0.025177024068209302,0.0046337294666304665
apparel_beauty_lifestyle,2020-10-29,2020-10-29,1,0.01720520234810235,0.01720520234810235
construction_infrastructure,2020-10-30,2020-11-02,2,0.044219460468660675,0.022112789580625045
gold,2020-10-30,2020-10-30,1,0.021388015568581626,0.021388015568581626
oil_integrated,2020-10-30,2020-10-30,1,0.012737744204732912,0.012737744204732912
datacenter_infra,2020-11-02,2020-11-03,2,0.03993802648406124,0.03394043009286453
industrial_automation,2020-11-03,2020-11-03,1,0.03624846522835301,0.03624846522835301
regional_banks,2020-11-03,2020-11-03,1,0.027508712309537758,0.027508712309537758
advanced_packaging,2020-11-04,2020-11-04,1,0.04235734414667215,0.04235734414667215
china_internet,2020-11-04,2020-11-06,3,0.07791071649364752,0.04311495604506219
homebuilders_housing,2020-11-04,2020-11-04,1,0.053334468820597,0.053334468820597
copper_metals,2020-11-05,2020-11-05,1,0.0748176650466727,0.0748176650466727
gold_silver_miners,2020-11-05,2020-11-06,2,0.11183509088363573,0.059840279962322024
silver,2020-11-05,2020-11-06,2,0.10725184820768852,0.05948087573737319
airlines_travel,2020-11-09,2020-11-13,5,0.21394594221156302,0.03746044479158196
transport_logistics,2020-11-09,2020-11-09,1,0.07989022061273898,0.07989022061273898
travel,2020-11-09,2020-11-13,5,0.15856528220782376,0.027798325897747146
managed_care,2020-11-10,2020-11-10,1,0.032324720655317316,0.032324720655317316
oil_gas,2020-11-10,2020-11-24,11,0.07132355494932384,0.02216097752926952
oil_integrated,2020-11-10,2020-11-10,1,0.041936075588315545,0.041936075588315545
nuclear_uranium,2020-11-11,2020-11-11,1,0.05073240755036945,0.05073240755036945
rare_earth_critical_minerals,2020-11-11,2020-11-18,6,0.05423963362366252,0.018110538473071643
uranium,2020-11-11,2020-11-11,1,0.0449754528350389,0.0449754528350389
real_estate_reits,2020-11-12,2020-11-12,1,-0.01454390167643666,-0.01454390167643666
agriculture_food_inputs,2020-11-16,2020-11-16,1,0.030704570462128846,0.030704570462128846
apparel_beauty_lifestyle,2020-11-17,2020-11-17,1,0.015421489501517532,0.015421489501517532
energy,2020-11-17,2020-11-23,5,0.0640679397049828,0.018045734568599023
oil_exploration,2020-11-18,2020-11-19,2,0.02802784215358226,0.009543873545673105
oil_services,2020-11-18,2020-11-18,1,0.010561848959060456,0.010561848959060456
cybersecurity,2020-11-20,2020-11-20,1,0.014483424393599814,0.014483424393599814
gaming_sports_betting,2020-11-20,2020-11-20,1,0.022224573779805065,0.022224573779805065
renewables_storage,2020-11-20,2020-11-20,1,0.028680729952592816,0.028680729952592816
oil_services,2020-11-23,2020-11-24,2,0.12148138942149136,0.1009832686343817
oil_exploration,2020-11-24,2020-11-24,1,0.062289578713763456,0.062289578713763456
nuclear_uranium,2020-11-25,2020-11-25,1,0.036984189195955045,0.036984189195955045
solar,2020-11-25,2020-11-25,1,0.024441207724339043,0.024441207724339043
uranium,2020-11-25,2020-11-25,1,0.05206141842913542,0.05206141842913542
